dominio;documento;nome;uf;cidade;cep;data_cadastro;ultima_atualizacao;ticket
consultaprotocolo.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;05/11/2014 16:30;05/11/2014 16:30;13521910
dados.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;29/07/2011 13:40;02/02/2016 17:15;8552337
dadosabertos.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;29/07/2011 13:40;22/01/2014 17:23;8552341
data.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;21/10/2011 17:04;22/01/2014 17:25;8893230
desafios.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;28/07/2015 11:40;28/07/2015 11:40;14461468
eixos.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;09/05/2000 14:02;22/01/2014 17:25;334520
forumsipec.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;28/10/2000 14:46;22/01/2014 17:25;455615
gestaoemdestaque.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;19/08/2013 19:17;22/01/2014 17:26;11866076
guiadeservicos.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;23/02/2012 09:53;22/01/2014 17:26;9507584
inclusaodigital.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;05/08/2005 20:10;22/01/2014 17:27;2269476
informacaoecidadania.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;24/11/2009 12:33;22/01/2014 17:27;6298645
inova.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;11/06/2015 19:43;11/06/2015 19:43;14237728
labcluster.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;26/10/2012 09:30;22/01/2014 17:27;10664867
mercadopublico.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;15/04/2008 18:45;06/07/2015 18:41;4382710
mp.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;20/08/1999 11:50;22/01/2014 17:27;186926
mulhergoverno.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;18/02/2003 15:43;22/01/2014 17:27;1095512
noticias.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;26/03/2013 12:22;22/01/2014 17:27;11251642
pensesimples.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;30/01/2015 17:08;30/01/2015 17:08;13766917
pesquisa.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;28/07/2015 11:40;28/07/2015 11:40;14461521
pgi.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;04/12/2013 19:39;22/01/2014 17:28;12303676
planejamentoterritorial.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;29/09/2008 18:24;22/01/2014 17:28;4895048
protocolo.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;05/11/2014 17:45;05/11/2014 17:45;13521904
protocolointegrado.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;21/03/2013 12:02;22/01/2014 17:28;11219354
recadastramento.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;18/02/2013 10:59;13/02/2015 13:12;11080147
servicos.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;18/05/2010 17:59;22/01/2014 17:29;6803183
servir.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;05/02/2013 13:24;22/01/2014 17:29;10991591
sgi.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;02/09/2011 14:15;22/01/2014 17:29;8771412
sigepe.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;11/07/2011 11:29;22/01/2014 17:29;8552320
sispac.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;30/08/2011 18:34;22/01/2014 17:29;8747901
versionamento.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;21/03/2013 14:37;22/01/2014 17:30;11248869
vispublica.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;21/11/2012 18:08;22/01/2014 17:30;10667427
vlibras.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;04/12/2015 20:14;04/12/2015 20:14;14978448
xn--guiadeservios-sgb.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;23/02/2012 09:58;22/01/2014 17:26;9507597
xn--notcias-9ya.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;26/03/2013 12:27;22/01/2014 17:28;11252298
xn--servios-yxa.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70046-900;23/02/2012 09:53;22/01/2014 17:29;9507560
catir.gov.br;000.489.828/0003-17;Ministerio do Planejamento Orçamento e Gestão;DF;Brasília;70046-900;10/12/2010 23:52;22/01/2014 17:35;7635212
computadoresparainclusao.gov.br;000.489.828/0003-17;Ministerio do Planejamento Orçamento e Gestão;DF;Brasília;70046-900;18/04/2008 13:17;22/01/2014 17:35;4395624
convenios.gov.br;000.489.828/0003-17;Ministerio do Planejamento Orçamento e Gestão;DF;Brasília;70046-900;14/04/2008 11:55;22/01/2014 17:35;4388176
projetobrasilmunicipios.gov.br;000.489.828/0003-17;Ministerio do Planejamento Orçamento e Gestão;DF;Brasília;70046-900;04/02/2009 10:56;22/01/2014 17:35;5186358
siorg.gov.br;000.489.828/0003-17;Ministerio do Planejamento Orçamento e Gestão;DF;Brasília;70046-900;01/03/2010 15:01;22/01/2014 17:36;6524018
sisp.gov.br;000.489.828/0003-17;Ministerio do Planejamento Orçamento e Gestão;DF;Brasília;70046-900;10/12/2010 23:52;02/02/2016 17:13;7635221
brasilemcidades.gov.br;000.489.828/0006-60;Ministério das Cidades;DF;Brasília;70070-010;11/10/2011 12:59;24/09/2014 17:31;8912744
capacidades.gov.br;000.489.828/0006-60;Ministério das Cidades;DF;Brasília;70070-010;19/10/2011 18:22;24/09/2014 17:31;8980271
pbqp-h.gov.br;000.489.828/0006-60;Ministério das Cidades;DF;Brasília;70070-010;04/06/1998 16:41;24/09/2014 17:34;100651
pncda.gov.br;000.489.828/0006-60;Ministério das Cidades;DF;Brasília;70070-010;27/10/1999 19:53;24/09/2014 17:35;213199
rotasdascidades.gov.br;000.489.828/0006-60;Ministério das Cidades;DF;Brasília;70070-010;19/10/2011 18:17;24/09/2014 17:35;8980264
orcamento.gov.br;000.489.828/0008-21;MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO-MP;DF;Brasília;70770-524;27/06/2012 18:04;27/06/2012 18:04;10078555
siop.gov.br;000.489.828/0008-21;MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO-MP;DF;Brasília;70770-524;27/06/2012 18:04;27/06/2012 18:04;10078525
patrimoniodetodos.gov.br;000.489.828/0009-02;Secretaria do Patromônio da União;DF;Brasília;70046-900;30/09/2009 11:01;02/02/2010 11:43;5992626
stm.gov.br;000.497.560/0001-01;SUPERIOR TRIBUNAL MILITAR;DF;Brasília;70098-900;06/01/1997 11:00;24/09/2012 15:57;27285
ac-jus.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;05/01/2005 10:25;25/03/2014 13:11;1943824
acjus.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;05/01/2005 10:10;25/03/2014 13:11;1943823
cjf.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;29/01/1997 11:00;25/03/2014 13:12;29162
jf.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;07/01/2005 10:29;25/03/2014 13:12;1960548
justicafederal.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;11/01/2005 12:43;25/03/2014 13:13;1965153
jfsp.gov.br;000.508.903/0009-35;Justiça Federal de São Paulo;SP;São Paulo;01310-200;16/03/2001 20:44;17/05/2012 21:52;526406
jfpe.gov.br;000.508.903/0014-00;Justica Federal de 1a Instancia;PE;Recife;50781-000;07/12/1999 20:12;29/08/2014 15:56;227076
jfce.gov.br;000.508.903/0016-64;Justiça Federal no Ceará;CE;Fortaleza;60140-140;13/03/2000 21:12;07/03/2015 12:32;283761
jfse.gov.br;000.508.903/0018-26;Justica Federal - Secao Judiciaria do Estado de SE;SE;Aracaju;49080-902;12/01/1999 20:17;09/05/2014 00:20;134712
jfal.gov.br;000.508.903/0019-07;Justica Federal de Primeira Instância;AL;Maceió;57046-000;17/03/2000 20:31;02/06/2016 15:05;286462
jfrn.gov.br;000.508.903/0020-40;Justiça Federal do Rio Grande do Norte;RN;Natal;59064-250;16/01/1998 12:22;05/09/2010 05:20;80611
jfpb.gov.br;000.508.903/0021-21;Justica Federal de Primeira Instancia;PB;João Pessoa;58031-220;14/09/1999 14:14;25/11/2011 01:42;194147
jfms.gov.br;000.508.903/0024-74;Justiça Federal de 1ª Instância;MS;Campo Grande;79037-102;16/07/2002 13:30;17/05/2012 21:52;899650
eleicoes.gov.br;000.509.018/0001-13;Tribunal Superior Eleitoral;DF;Brasília;70096-900;02/08/2001 18:49;02/10/2013 17:06;615171
justicaeleitoral.gov.br;000.509.018/0001-13;Tribunal Superior Eleitoral;DF;Brasília;70096-900;01/08/2001 17:09;03/02/2015 17:46;614308
tse.gov.br;000.509.018/0001-13;Tribunal Superior Eleitoral;DF;Brasília;70096-900;17/06/1996 12:00;08/01/2015 20:19;9718
tre-al.gov.br;000.509.018/0002-02;Tribunal Regional Eleitoral de Alagoas;AL;Maceio;57020-720;11/11/1998 16:07;08/01/2015 20:21;123231
tre-am.gov.br;000.509.018/0003-85;Tribunal Regional Eleitoral do Amazonas;AM;Manaus;69060-000;03/08/1998 20:07;08/01/2015 20:21;106208
tre-ba.gov.br;000.509.018/0004-66;Tribunal Regional Eleitoral da Bahia;BA;Salvador;40237-900;24/07/1998 20:05;08/01/2015 21:05;106344
tre-ce.gov.br;000.509.018/0005-47;Tribunal Regional Eleitoral do Ceará;CE;Fortaleza;60050-080;30/07/1998 19:43;03/02/2015 18:46;106325
tre-df.gov.br;000.509.018/0006-28;Tribunal Regional Eleitoral do Distrito Federal;DF;BRASÍLIA;70094-901;31/07/1998 18:20;08/01/2015 21:07;106173
tre-es.gov.br;000.509.018/0007-09;Tribunal Regional Eleitoral do Esprito do Santo;ES;Vitória;29052-123;23/07/1998 20:25;08/01/2015 21:08;106347
tre-go.gov.br;000.509.018/0008-90;Tribunal Regional Eleitoral do Goias;GO;Goiania;74003-010;14/08/1998 16:54;08/01/2015 21:09;108492
tre-ma.gov.br;000.509.018/0009-70;Tribunal Regional Eleitoral do Maranhão;MA;São Luís;65010-917;31/08/1998 13:27;08/01/2015 21:11;111330
tre-mg.gov.br;000.509.018/0011-95;TRIBUNAL REGIONAL ELEITORAL DE MINAS GERAIS;MG;BELO HORIZONTE;30380-000;15/06/1998 17:24;08/01/2015 21:11;100479
tre-pa.gov.br;000.509.018/0012-76;Tribunal Regional Eleitoral do Pará;PA;Belém;66015-160;03/08/1998 14:01;08/01/2015 21:13;106204
tre-pb.gov.br;000.509.018/0013-57;Tribunal Regional Eleitoral da Paraíba;PB;João Pessoa;58013-250;15/04/1998 12:44;28/08/2014 20:17;91806
tre-pe.gov.br;000.509.018/0015-19;Tribunal Regional Eleitoral do Pernambuco;PE;Recife;50020-500;10/08/1998 14:18;08/01/2015 21:14;108167
tre-pi.gov.br;000.509.018/0016-08;Tribunal Regional Eleitoral do Piauí;PI;Teresína;64000-830;12/08/1998 13:39;08/01/2015 21:14;110090
tre-rj.gov.br;000.509.018/0017-80;Tribunal Regional Eleitoral do Rio de Janeiro;RJ;Rio de Janeiro;20030-021;11/08/1998 20:30;26/10/2013 11:55;108617
tre-rn.gov.br;000.509.018/0018-61;Tribunal Regional Eleitoral do Rio Grande do Norte;RN;Natal;59025-580;05/08/1998 12:18;08/01/2015 21:16;108318
tre-rs.gov.br;000.509.018/0019-42;TRIBUNAL REGIONAL ELEITORAL DO RIO GRANDE DO SUL;RS;Porto Alegre;90010-280;15/07/1998 12:04;03/02/2015 18:19;105897
tre-sc.gov.br;000.509.018/0020-86;Tribunal Regional Eleitoral de Santa Catarina;SC;Florianópolis;88015-140;05/08/1998 12:49;08/01/2015 21:17;106213
tre-sp.gov.br;000.509.018/0021-67;Tribunal Regional Eleitoral de São Paulo;SP;São Paulo;01316-900;07/08/1998 15:04;23/09/2015 16:41;108320
tre-se.gov.br;000.509.018/0022-48;Tribunal Regional Eleitoral de Sergipe;SE;Aracaju;49080-000;24/08/1998 17:26;08/01/2015 21:18;110572
tre-ac.gov.br;000.509.018/0023-29;Tribunal Regional Eleitoral do Acre;AC;Rio Branco;69915-900;12/08/1998 12:39;08/01/2015 20:20;109494
tre-ms.gov.br;000.509.018/0024-00;Tribunal Regional Eleitoral de MS;MS;Campo Grande;79037-100;16/01/1998 12:21;08/01/2015 21:12;80021
tre-to.gov.br;000.509.018/0025-90;Tribunal Regional Eleitoral do Tocantins;TO;Palmas;77085-020;12/08/1998 12:39;08/01/2015 21:18;109495
tre-rr.gov.br;000.509.018/0026-71;Tribunal Regional Eleitoral de Roraima;RR;Boa Vista;69301-380;05/08/1998 19:21;08/01/2015 21:17;108319
prove.gov.br;000.509.612/0001-04;EMATER -DF;DF;Brasília;70779-900;16/07/1998 12:12;16/08/2001 14:55;104260
csjt.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;02/03/2001 21:18;04/03/2015 19:11;520691
enamat.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;06/09/2006 19:39;04/03/2015 19:16;3046336
jt.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;23/03/2001 12:50;04/03/2015 19:18;536775
justicadotrabalho.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;23/03/2001 12:50;04/03/2015 19:06;536773
justra.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;23/03/2001 12:50;04/03/2015 19:16;536770
portaljt.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;14/05/2001 20:13;04/03/2015 19:10;562730
tribunaisdotrabalho.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;23/03/2001 12:50;04/03/2015 19:04;536774
tst.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;30/11/1995 12:00;04/03/2015 19:19;4671
trt05.gov.br;000.509.968/0006-52;TRIBUNAL REGIONAL DO TRABALHO DA 5A. REGIAO;BA;Salvador;40055-010;13/11/1997 11:00;04/11/2015 13:33;69435
trt-pe.gov.br;000.509.968/0007-33;TRIBUNAL REGIONAL DO TRABALHO DA 6A. REGIAO;PE;Recife;50080-090;14/11/1997 11:00;05/01/2013 14:46;69522
trt6.gov.br;000.509.968/0007-33;TRIBUNAL REGIONAL DO TRABALHO DA 6A. REGIAO;PE;Recife;50080-090;16/10/1996 11:00;21/02/2016 14:39;19093
trt7.gov.br;000.509.968/0008-14;Tribunal Regional do Trabalho da 7A. Regiao;CE;Fortaleza;60150-162;16/01/1998 12:23;24/02/2012 11:09;81487
trt9.gov.br;000.509.968/0010-39;Tribunal Regional do Trabalho da 9ª Região;PR;Curitiba;80420-010;13/04/1999 13:45;06/05/2016 14:43;151987
trt13.gov.br;000.509.968/0014-62;Tribunal regional do Trabalho 13 Regiao;PB;João Pessoa;58013-260;16/01/1998 12:25;14/05/2013 17:22;82541
trt15.gov.br;000.509.968/0016-24;Tribunal Regional do Trabalho da 15ª Região;SP;Campinas;13015-081;15/07/1996 12:00;06/04/2015 18:18;11736
trt17.gov.br;000.509.968/0023-53;TRIBUNAL REGIONAL DO TRABALHO - 17A REGIAO;ES;Vitória;29010-190;29/10/1996 11:00;15/08/2015 04:45;20723
trt21.gov.br;000.509.968/0086-37;Tribunal Regional do Trabalho da 21ª Região;RN;Natal;59063-400;18/06/1997 12:00;19/10/2015 13:41;43814
trt22.gov.br;000.509.968/0087-18;TRIBUNAL REGIONAL DO TRABALHO DA 22A. REGIAO;PI;Teresina;64000-901;25/06/1997 12:00;27/09/2014 14:23;44732
cidadania.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;25/10/2000 12:50;22/01/2014 15:58;448648
congresso.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;17/04/1997 12:00;24/01/2014 19:37;36816
copatransparente.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;12/07/2011 16:17;24/01/2014 20:14;8550844
interlegis.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;07/07/1997 12:00;16/09/2014 18:25;46196
lexml.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;19/12/2005 10:44;01/11/2012 13:14;2518511
senado.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;01/01/1996 12:00;05/02/2016 15:53;0
senador.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;07/11/2002 12:50;24/01/2014 19:53;1010027
senadora.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;07/11/2002 12:50;27/01/2014 13:56;1009330
siga.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;03/06/2009 15:03;24/01/2014 20:13;5623057
sigabrasil.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;26/02/2009 12:25;24/01/2014 20:04;5296790
transparencianacopa.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;12/07/2011 16:17;24/01/2014 20:06;8550859
viibra.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;05/03/2014 15:21;05/03/2014 15:21;12568537
ilbsenado.gov.br;000.530.279/0005-49;Secretaria Especial de Editoração e Publicações;DF;Brasília;70160-900;11/04/2000 19:05;15/10/2002 13:35;308334
agenciacamara.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;19/11/2008 08:40;16/06/2015 13:33;5034350
camara.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;26/04/1997 12:00;29/02/2016 15:11;37928
camaradosdeputados.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;27/05/2005 11:43;08/06/2015 19:42;2151224
cd.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;15/06/2010 10:33;08/06/2015 17:33;6952893
deputado.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;04/07/2007 12:32;12/06/2015 17:17;3725132
edemocracia.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;15/06/2009 18:47;15/06/2015 17:37;5587853
opeixeeaartedepescar.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;16/04/2009 19:33;15/06/2015 12:43;5472238
plenarinho.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;22/09/2003 13:17;11/06/2015 14:00;1342021
radiocamara.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;08/10/2009 18:22;15/06/2015 18:34;6001342
wikilegis.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;15/06/2009 18:47;15/06/2015 14:55;5587856
aids.gov.br;000.530.493/0001-71;Fundo Nacional de Saúde;DF;Brasília;70070-600;02/06/1997 12:00;06/04/2016 17:53;41832
saudenacopa.gov.br;000.530.493/0001-71;Fundo Nacional de Saúde;DF;Brasília;70070-600;26/05/2014 10:58;08/08/2014 17:44;12916924
cortesmercosul.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;30/10/2007 15:48;08/10/2014 15:29;4027416
cortesmercosur.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;30/10/2007 15:48;08/10/2014 15:31;4027421
diariodajustica.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;19/05/2006 12:22;08/10/2014 15:32;2804653
dj.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;19/05/2006 12:22;08/10/2014 15:32;2804648
infojus.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;09/08/2000 14:21;08/10/2014 15:32;400199
radiojustica.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;15/03/2004 11:50;08/10/2014 15:33;1559406
rededojudiciario.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;17/03/1999 19:20;08/10/2014 15:33;147659
rededopoderjudiciario.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;17/03/1999 19:21;08/10/2014 15:33;147662
redejudiciario.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;17/03/1999 18:50;08/10/2014 15:33;147655
stf.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;16/04/1996 12:00;08/10/2014 15:34;6820
stfnet.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;17/03/1999 19:20;08/10/2014 15:34;147657
tvjustica.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;22/03/2002 12:13;08/10/2014 15:34;746725
tjdf.gov.br;000.531.954/0001-20;TRIBUNAL DE JUSTICA DO DISTRITO FEDERAL;DF;Brasília;70094-900;09/10/1997 11:00;25/02/2016 22:10;62157
tjdft.gov.br;000.531.954/0001-20;TRIBUNAL DE JUSTICA DO DISTRITO FEDERAL;DF;Brasília;70094-900;20/07/1998 17:34;25/02/2016 22:10;107450
coren-ap.gov.br;000.593.411/0001-38;Conselho Regional de Enfermagem do Amapá - Coren;AP;Macapá;68900-081;26/04/2012 19:39;18/08/2014 12:02;9778847
enap.gov.br;000.627.612/0001-09;Escola Nacional de Administração Pública - ENAP;DF;Brasília;70610-900;10/09/1997 12:00;05/04/2016 19:35;56937
funag.gov.br;000.662.197/0001-24;Fundação Alexandre de Gusmão;DF;Brasília;70170-900;21/05/1998 20:01;21/12/2011 12:52;98256
inmetrogo.gov.br;000.662.270/0002-49;Superintendência Regional do Inmetro SUR-01/GO;GO;Goiânia;74093-215;27/09/2002 14:12;22/06/2010 13:37;966348
infoconsumo.gov.br;000.662.270/0003-20;INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECN;RJ;Rio de Janeiro;20261-232;30/10/2000 16:12;20/05/2015 12:17;453931
inmetro.gov.br;000.662.270/0003-20;INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECN;RJ;Rio de Janeiro;20261-232;16/04/1996 12:00;16/11/2015 17:36;6763
oconsumidor.gov.br;000.662.270/0003-20;INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECN;RJ;Rio de Janeiro;20261-232;30/10/2000 16:12;20/05/2015 12:18;453939
pbqp.gov.br;000.662.270/0003-20;INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECN;RJ;Rio de Janeiro;20261-232;09/11/1999 18:54;21/12/2009 14:54;215563
portaldoconsumidor.gov.br;000.662.270/0003-20;INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECN;RJ;Rio de Janeiro;20261-232;11/12/2001 18:30;20/05/2015 12:18;683263
sitedoconsumidor.gov.br;000.662.270/0003-20;INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECN;RJ;Rio de Janeiro;20261-232;30/10/2000 16:12;20/05/2015 12:19;453947
inmetro-sc.gov.br;000.662.270/0004-00;Inst Nac Metrologia e Norm Ind;SC;São José;88110-603;13/07/2001 13:36;06/02/2008 17:38;599347
rbmlq.gov.br;000.662.270/0009-15;INMETRO INSTITUTO NAC DE METROL NORM E QUAL INDUST;RS;Porto Alegre;90240-581;16/12/2010 11:40;16/12/2010 11:40;7651999
inmetro-es.gov.br;000.662.270/0010-59;Inst. Nac. Metrol., Normal. e Qual. Ind. Repr. ES;ES;Vitória;29053-245;18/11/1998 18:44;11/04/2007 14:26;123973
cfbio.gov.br;000.720.532/0001-01;Conselho Federal de Biologia;DF;Brasília;70719-900;07/08/2009 15:06;07/05/2015 13:11;5859295
eaf-sbf.gov.br;000.853.966/0001-71;Escola Agrotecnica Federal de Senhor do Bonfim;BA;Senhor do Bonfim;48970-000;15/04/1998 13:14;12/10/2007 14:17;93030
eafsb.gov.br;000.853.966/0001-71;Escola Agrotecnica Federal de Senhor do Bonfim;BA;Senhor do Bonfim;48970-000;10/08/2006 13:46;16/12/2009 17:42;2981571
eafsrbonfim.gov.br;000.853.966/0001-71;Escola Agrotecnica Federal de Senhor do Bonfim;BA;Senhor do Bonfim;48970-000;24/06/1999 13:57;12/10/2007 14:17;167497
eafsi.gov.br;000.855.923/0001-25;Escola Agrotécnica Federal de Santa Inês - Bahia;BA;Santa Inês;45320-000;15/06/2005 04:25;18/05/2012 19:45;2190774
capes.gov.br;000.889.834/0001-08;FUNDACAO CAPES;DF;Brasília;70040-020;01/01/1996 12:00;29/09/2015 21:14;0
cienciasemfronteiras.gov.br;000.889.834/0001-08;FUNDACAO CAPES;DF;Brasília;70040-020;01/12/2011 16:19;11/03/2014 21:45;9160529
vice-presidencia.gov.br;000.894.355/0001-71;VICE PRESIDENCIA DA REPUBLICA;DF;Brasilia;70150-900;10/04/2000 16:46;10/07/2007 23:17;303852
vicepresidenciadarepublica.gov.br;000.894.355/0001-71;VICE PRESIDENCIA DA REPUBLICA;DF;Brasilia;70150-900;10/04/2000 16:46;10/07/2007 23:18;303886
defesa.gov.br;000.894.356/0001-16;Ministerio da Defesa;DF;Brasília;70049-900;22/06/1999 13:18;18/12/2014 13:10;171030
abin.gov.br;001.175.497/0001-41;Agencia Brasileira de Inteligencia;DF;Brasília;70610-200;08/11/1997 11:00;18/11/2014 13:15;68327
